127.0.0.1 - - [23/Feb/2019:14:25:03 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:04 +0900] "GET /BBS/ HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:04 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:07 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:25:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:31:48 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:31:48 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:31:48 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:28 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:28 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:44 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:33:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:34:15 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:34:15 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2019:14:34:15 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
